Estación;cp;Año;Mes;Dia;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm);Precipitación 18-24h (mm)
Puerto de Navacerrada;28048-28047-28023;2017;7;3;Madrid;25.2 (16:10);12.2 (03:50);18.7;30 (15:50);17 (23:59);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;7;3;Madrid;35.2 (19:00);15.1 (06:40);25.2;29 (14:10);15 (23:30);0;0;0;0;0
Rascafría;28034-28035-28040;2017;7;3;Madrid;31.7 (19:30);6.7 (06:40);19.2;20 (16:50);8 (17:00);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;7;3;Madrid;31.5 (17:50);8.3 (06:40);19.9;18 (14:20);10 (20:10);0;0;0;0;0
Somosierra;28020-28021-28024;2017;7;3;Madrid;28.9 (18:40);12.5 (06:20);20.7;17 (14:40);7 (08:40);0;0;0;0;0
San Sebastián de Los Reyes;28029-28036-28046;2017;7;3;Madrid;31.6 (19:20);15.1 (06:30);23.4;22 (17:30);9 (02:50);0;0;0;0;0
Madrid. El Goloso;28055-28050-28033;2017;7;3;Madrid;34.4 (18:40);16.2 (07:20);25.3;33 (17:00);17 (22:50);0;0;0;0;0
Madrid Aeropuerto;28022-28027-28037;2017;7;3;Madrid;35.7 (19:00);15.0 (07:20);25.4;26 (14:30);13 (14:20);0;0;0;0;0
Alcala de Henares;28051-28031-28052;2017;7;3;Madrid;30.4 (18:00);15.5 (05:30);22.9;24 (14:30);12 (06:00);0;0;0;0;0
Arganda del Rey;28039-28038-28032;2017;7;3;Madrid;34.4 (19:00);15.5 (07:30);25;33 (01:40);18 (03:30);0;0;0;0;0
Colmenar Viejo;28011-28013-28005;2017;7;3;Madrid;34.2 (18:30);15.4 (07:00);24.8;0;0;0;0;0;0;0
Madrid. Ciudad Universitaria;28030-28028-28026;2017;7;3;Madrid;34.2 (15:40);17.8 (07:30);26;25 (01:50);10 (03:50);0;0;0;0;0
Pozuelo de Alarcón;28001-28004-28009;2017;7;3;Madrid;33.5 (17:20);15.9 (07:20);24.7;0;0;0;0;0;0;0
