Estación;cp;Año;Mes;Dia;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm);Precipitación 18-24h (mm)
Puerto de Navacerrada;28048-28047-28023;2017;1;1;Madrid;7.3 (14:40);-0.7 (23:59);3.3;37 (23:50);22 (23:50);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;1;1;Madrid;3.5 (16:10);-5.7 (05:30);-1.1;13 (14:10);8 (10:30);0;0;0;0;0
Rascafría;28034-28035-28040;2017;1;1;Madrid;8.6 (15:10);-9.0 (09:00);-0.2;10 (14:10);5 (16:10);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;1;1;Madrid;4.3 (11:10);-9.0 (07:40);-2.3;15 (13:20);9 (12:10);0;0;0;0;0
Somosierra;28020-28021-28024;2017;1;1;Madrid;7.9 (15:30);-5.6 (22:40);1.2;17 (22:30);10 (16:50);0;0;0;0;0
Madrid. El Goloso;28029-28036-28046;2017;1;1;Madrid;4.4 (16:00);-4.9 (07:50);-0.3;10 (17:20);6 (17:20);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;1;1;Madrid;4.3 (14:50);-3.8 (02:10);0.3;26 (13:20);15 (05:00);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;1;1;Madrid;5.7 (15:50);-4.5 (00:40);0.6;15 (03:50);9 (03:50);0;0;0;0;0
Arganda del Rey;28051-28031-28052;2017;1;1;Madrid;4.2 (15:30);-3.8 (04:10);0.2;12 (13:40);8 (13:40);0.2;0;0.2;0;0
Colmenar Viejo;28039-28038-28032;2017;1;1;Madrid;1.8 (14:40);-1.4 (23:30);0.2;13 (12:30);8 (18:10);0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;1;1;Madrid;0;0;0;0;0;0;0;0;0;0
Pozuelo de Alarcón;28030-28028-28026;2017;1;1;Madrid;5.8 (15:10);-4.8 (02:40);0.5;0;0;0;0;0;0;0
Madrid. Retiro;28001-28004-28009;2017;1;1;Madrid;4.2 (15:20);0.1 (20:30);2.1;12 (02:20);4 (00:40);0;0;0;0;0
Tielmes;28002-28003-28043;2017;1;1;Madrid;4.1 (16:50);-4.2 (06:50);0;0;0;0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;1;1;Madrid;7.5 (14:20);-5.4 (23:30);1;32 (23:50);18 (23:50);0;0;0;0;
Alpedrete;28019-28014-28012;2017;1;1;Madrid;7.3 (15:40);-2.8 (06:30);2.3;8 (16:40);3 (09:40);0;0;0;0;
Torrelodones;28018-28010-28008;2017;1;1;Madrid;5.3 (16:30);-2.8 (08:50);1.3;15 (15:20);7 (15:20);0;0;0;0;0
Rozas de Puerto Real;28017-28007;2017;1;1;Madrid;5.6 (15:00);-2.0 (05:20);1.8;0;0;0;0;0;0;0
Robledo de Chavela;28016-28006;2017;1;1;Madrid;0;0;0;14 (16:10);9 (16:20);0;0;0;0;
Valdemorillo;28015;2017;1;1;Madrid;3.6 (14:20);-1.9 (05:50);0.8;10 (00:10);6 (02:00);0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;1;2;Madrid;7.6 (15:20);-0.7 (00:00);3.4;48 (04:30);32 (04:20);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;1;2;Madrid;7.5 (15:40);-1.4 (03:30);3.1;18 (05:00);11 (03:20);0;0;0;0;0
Rascafría;28034-28035-28040;2017;1;2;Madrid;5.6 (15:30);-3.1 (07:00);1.3;9 (21:30);3 (13:40);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;1;2;Madrid;4.6 (15:20);-2.3 (03:10);1.1;18 (22:50);8 (21:30);0;0;0;0;0
Somosierra;28020-28021-28024;2017;1;2;Madrid;6.2 (23:50);-4.9 (00:10);0.6;18 (14:10);11 (16:40);0;0;0;0;0
San Sebastián de Los Reyes;28029-28036-28046;2017;1;2;Madrid;0;0;0;0;0;0;0;0;0;0
Madrid. El Goloso;28055-28050-28033;2017;1;2;Madrid;5.5 (15:30);-0.5 (06:40);2.5;10 (15:10);5 (14:40);0;0;0;0;0
Madrid Aeropuerto;28022-28027-28037;2017;1;2;Madrid;6.6 (15:40);-1.1 (06:20);2.7;13 (13:00);10 (08:50);0;0;0;0;0
Alcala de Henares;28051-28031-28052;2017;1;2;Madrid;7.6 (16:00);-2.2 (07:20);2.7;13 (14:30);8 (14:00);0;0;0;0;0
Arganda del Rey;28039-28038-28032;2017;1;2;Madrid;7.8 (15:30);-0.9 (06:20);3.5;13 (14:00);8 (13:00);0;0;0;0;0
Colmenar Viejo;28011-28013-28005;2017;1;2;Madrid;4.5 (14:20);-1.8 (04:50);1.4;13 (16:20);9 (15:10);0;0;0;0;0
Madrid. Ciudad Universitaria;28030-28028-28026;2017;1;2;Madrid;0;0;0;0;0;0;0;0;0;0
Pozuelo de Alarcón;28001-28004-28009;2017;1;2;Madrid;6.9 (15:40);0.0 (06:00);3.5;0;0;0;0;0;0;0
Madrid. Retiro;28002-28003-28043;2017;1;2;Madrid;6.5 (16:30);0.7 (02:40);3.6;16 (11:50);7 (11:10);0;0;0;0;0
Tielmes;28049-28054-28053;2017;1;2;Madrid;6.8 (15:50);-0.5 (00:00);3.2;0;0;0;0;0;0;0
Puerto Alto del León;28019-28014-28012;2017;1;2;Madrid;5.9 (22:40);-5.3 (02:00);0.3;29 (00:20);21 (00:20);0;0;0;0;
Alpedrete;28018-28010-28008;2017;1;2;Madrid;8.4 (14:50);-0.3 (04:40);4;25 (22:20);8 (22:20);0;0;0;0;
Rozas de Puerto Real;28017-28007;2017;1;2;Madrid;5.1 (14:40);-1.1 (05:10);2;0;0;0;0;0;0;0
Robledo de Chavela;28016-28006;2017;1;2;Madrid;0;0;0;14 (16:10);9 (16:20);0;0;0;0;
Valdemorillo;28015;2017;1;2;Madrid;3.6 (14:20);-1.9 (05:50);0.8;10 (00:10);6 (02:00);0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;1;3;Madrid;5.9 (13:10);-0.3 (09:00);2.8;36 (02:50);24 (03:00);0;0;0;0;0
