Estación;cp;Año;Mes;Dia;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm);Precipitación 18-24h (mm)
Puerto de Navacerrada;28048-28047-28023;2017;9;1;Madrid;0;0;0;0;0;0;0;0;0;0
Aranjuez;28025-28041-28054;2017;9;1;Madrid;30.5 (17:50);15.1 (06:50);22.8;31 (23:59);15 (23:00);0;0;0;0;0
Rascafría;28034-28035-28040;2017;9;1;Madrid;23.5 (16:30);7.4 (23:59);15.5;26 (16:40);10 (15:30);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;9;1;Madrid;23.2 (15:50);11.1 (08:10);17.2;37 (23:50);18 (22:50);0;0;0;0;0
Somosierra;28020-28021-28024;2017;9;1;Madrid;19.8 (15:10);9.1 (07:50);14.4;29 (18:00);9 (23:20);0;0;0;0;0
Madrid. El Goloso;28029-28036-28046;2017;9;1;Madrid;25.9 (18:30);14.9 (06:30);20.4;26 (20:10);10 (21:10);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;9;1;Madrid;28.6 (17:40);16.3 (07:50);22.4;45 (21:50);29 (21:50);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;9;1;Madrid;30.7 (18:10);17.8 (06:10);24.3;38 (23:59);24 (21:50);0;0;0;0;0
Arganda del Rey;28051-28031-28052;2017;9;1;Madrid;25.2 (16:50);13.6 (07:50);19.4;37 (12:50);19 (09:30);0;0;0;0;0
Colmenar Viejo;28039-28038-28032;2017;9;1;Madrid;29.4 (16:00);16.6 (08:00);23;39 (23:40);20 (23:20);0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;9;1;Madrid;29.1 (18:40);16.3 (07:50);22.7;0;0;0;0;0;0;0
Pozuelo de Alarcón;28030-28028-28026;2017;9;1;Madrid;28.5 (16:10);17.1 (08:20);22.8;39 (23:20);18 (23:30);0;0;0;0;0
Madrid. Retiro;28001-28004-28009;2017;9;1;Madrid;28.8 (16:20);16.6 (07:40);22.7;0;0;0;0;0;0;0
Tielmes;28002-28003-28043;2017;9;1;Madrid;19.3 (15:40);9.7 (23:50);14.5;37 (14:50);23 (23:59);0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;9;1;Madrid;26.2 (13:50);14.2 (06:30);20.2;30 (19:30);18 (19:20);0;0;0;0;0
Alpedrete;28019-28014-28012;2017;9;1;Madrid;27.8 (16:10);15.6 (07:00);21.7;36 (16:00);16 (17:10);0;0;0;0;0
Torrelodones;28018-28010-28008;2017;9;1;Madrid;25.9 (16:30);13.5 (06:30);19.7;0;0;0;0;0;0;0
Rozas de Puerto Real;28017-28007;2017;9;1;Madrid;27.2 (16:50);14.5 (05:50);20.9;0;0;0;0;0;0;0
Robledo de Chavela;28016-28006;2017;9;1;Madrid;26.2 (16:20);15.2 (08:10);20.7;37 (21:30);22 (22:20);0;0;0;0;0
Valdemorillo;28015;2017;9;1;Madrid;25.9 (16:30);13.5 (06:30);19.7;0;0;0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;9;2;Madrid;19.1 (17:20);6.0 (08:10);12.6;0;0;0;0;0;0;0
Aranjuez;28025-28041-28054;2017;9;2;Madrid;29.8 (18:50);13.8 (07:50);21.8;27 (00:10);13 (00:10);0;0;0;0;0
Rascafría;28034-28035-28040;2017;9;2;Madrid;26.5 (18:10);2.6 (08:10);14.5;17 (16:00);7 (15:30);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;9;2;Madrid;25.4 (17:50);6.3 (07:10);15.8;30 (00:10);15 (00:10);0.1;0;0.1;0;0
Somosierra;28020-28021-28024;2017;9;2;Madrid;21.2 (18:20);4.1 (08:00);12.7;24 (04:50);8 (04:40);0;0;0;0;0
San Sebastián de Los Reyes;28029-28036-28046;2017;9;2;Madrid;25.3 (18:40);10.4 (08:10);17.8;27 (00:40);10 (00:10);0;0;0;0;0
Madrid. El Goloso;28055-28050-28033;2017;9;2;Madrid;28.0 (18:50);12.2 (08:00);20.1;41 (00:20);21 (00:10);0;0;0;0;0
Madrid Aeropuerto;28022-28027-28037;2017;9;2;Madrid;29.7 (19:00);13.6 (07:30);21.7;39 (00:10);23 (00:10);0;0;0;0;0
Alcala de Henares;28051-28031-28052;2017;9;2;Madrid;24.7 (18:30);8.2 (07:50);16.5;36 (00:50);17 (04:20);0;0;0;0;0
Arganda del Rey;28039-28038-28032;2017;9;2;Madrid;28.0 (18:40);12.0 (08:10);20;79 (03:10);25 (00:50);0;0;0;0;0
Colmenar Viejo;28011-28013-28005;2017;9;2;Madrid;28.6 (18:50);12.3 (07:40);20.5;0;0;0;0;0;0;0
Madrid. Ciudad Universitaria;28030-28028-28026;2017;9;2;Madrid;27.0 (17:00);13.9 (08:00);20.4;44 (00:50);23 (00:30);0;0;0;0;0
Pozuelo de Alarcón;28001-28004-28009;2017;9;2;Madrid;27.8 (17:10);13.5 (08:00);20.6;0;0;0;0;0;0;0
Madrid. Retiro;28002-28003-28043;2017;9;2;Madrid;21.6 (18:00);6.6 (07:00);14.1;35 (02:50);27 (02:40);0;0;0;0;0
Tielmes;28049-28054-28053;2017;9;2;Madrid;28.2 (18:30);8.9 (07:20);18.6;17 (16:20);9 (00:10);0;0;0;0;0
