Estación;cp;Año;Mes;Dia;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm);Precipitación 18-24h (mm)
Puerto de Navacerrada;28048-28047-28023;2017;5;1;Madrid;8.3 (17:00);-4.7 (07:50);1.8;69 (01:40);27 (03:10);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;5;1;Madrid;19.8 (19:30);1.3 (07:20);10.5;27 (01:00);16 (01:00);0;0;0;0;0
Rascafría;28034-28035-28040;2017;5;1;Madrid;15.9 (16:50);1.3 (07:00);8.6;35 (00:10);13 (00:50);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;5;1;Madrid;15.8 (17:10);0.9 (07:00);8.4;42 (03:10);21 (05:20);0;0;0;0;0
Somosierra;28020-28021-28024;2017;5;1;Madrid;12.5 (18:10);-2.0 (06:50);5.3;34 (00:30);9 (00:30);0;0;0;0;0
Madrid. El Goloso;28029-28036-28046;2017;5;1;Madrid;17.4 (19:00);1.5 (07:10);9.4;30 (18:40);9 (16:30);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;5;1;Madrid;19.1 (18:50);2.6 (07:30);10.9;48 (00:10);32 (00:20);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;5;1;Madrid;0;0;0;0;0;0;0;0;0;
Arganda del Rey;28051-28031-28052;2017;5;1;Madrid;19.8 (19:10);2.7 (07:30);11.2;28 (04:10);15 (04:20);0;0;0;0;0
Colmenar Viejo;28039-28038-28032;2017;5;1;Madrid;16.0 (18:30);1.0 (07:20);8.5;34 (01:10);19 (01:30);0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;5;1;Madrid;19.6 (18:40);2.9 (07:40);11.3;0;0;0;0;0;0;0
Pozuelo de Alarcón;28030-28028-28026;2017;5;1;Madrid;19.7 (18:00);4.5 (05:40);12.1;0;0;0.6;0.2;0.2;0.2;0
Madrid. Retiro;28001-28004-28009;2017;5;1;Madrid;18.6 (17:00);5.1 (07:30);11.9;30 (00:20);12 (01:30);0;0;0;0;0
Tielmes;28002-28003-28043;2017;5;1;Madrid;17.9 (19:20);2.2 (08:00);10;0;0;0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;5;1;Madrid;11.7 (18:10);-3.0 (08:00);4.3;72 (05:40);47 (05:40);0;0;0;0;0
Alpedrete;28019-28014-28012;2017;5;1;Madrid;17.6 (17:40);2.6 (06:30);10.1;39 (00:50);21 (00:50);0;0;0;0;0
Torrelodones;28018-28010-28008;2017;5;1;Madrid;19.2 (17:00);2.7 (05:50);11;34 (10:20);21 (10:20);0;0;0;0;0
Rozas de Puerto Real;28017-28007;2017;5;1;Madrid;15.2 (19:00);0.7 (07:40);7.9;0;0;0;0;0;0;0
