Estación;cp;Año;Mes;Dia;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm);Precipitación 18-24h (mm)
Puerto de Navacerrada;28048-28047-28023;2017;8;1;Madrid;23.0 (16:50);11.9 (00:10);17.4;47 (12:10);24 (12:30);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;8;1;Madrid;34.1 (17:50);18.5 (06:50);26.3;24 (16:30);10 (19:10);0;0;0;0;0
Rascafría;28034-28035-28040;2017;8;1;Madrid;29.3 (15:50);10.4 (07:50);19.8;31 (15:20);13 (15:20);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;8;1;Madrid;29.2 (17:30);13.2 (07:40);21.2;35 (16:20);16 (15:30);0;0;0;0;0
Somosierra;28020-28021-28024;2017;8;1;Madrid;25.8 (17:50);12.7 (06:00);19.2;38 (13:40);16 (13:40);0;0;0;0;0
Madrid. El Goloso;28029-28036-28046;2017;8;1;Madrid;30.0 (18:50);18.6 (07:40);24.3;27 (14:30);13 (14:40);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;8;1;Madrid;32.7 (18:20);19.4 (07:30);26.1;50 (16:10);23 (17:30);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;8;1;Madrid;33.9 (17:50);18.3 (07:20);26.1;29 (14:40);18 (14:20);0;0;0;0;0
Arganda del Rey;28051-28031-28052;2017;8;1;Madrid;28.3 (17:50);18.7 (06:50);23.5;33 (15:30);14 (17:30);0;0;0;0;0
Colmenar Viejo;28039-28038-28032;2017;8;1;Madrid;33.4 (17:20);18.9 (07:20);26.2;35 (16:10);14 (17:10);0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;8;1;Madrid;32.4 (18:10);18.3 (07:40);25.4;0;0;0;0;0;0;0
