Estación;cp;Año;Mes;Dia;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm);Precipitación 18-24h (mm)
Puerto de Navacerrada;28048-28047-28023;2017;2;1;Madrid;2.3 (00:40);0.5 (23:59);1.4;62 (00:40);36 (01:20);0.2;0;0;0.2;0
Aranjuez;28025-28041-28054;2017;2;1;Madrid;13.6 (15:00);1.8 (04:30);7.7;21 (11:30);16 (11:30);0.2;0;0;0;0.2
Rascafría;28034-28035-28040;2017;2;1;Madrid;7.7 (16:20);-1.1 (08:10);3.3;13 (00:20);5 (16:50);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;2;1;Madrid;5.8 (16:10);-2.0 (06:50);1.9;12 (22:30);8 (00:40);0;0;0;0;0
Somosierra;28020-28021-28024;2017;2;1;Madrid;5.4 (01:50);2.5 (08:20);4;38 (01:00);21 (00:50);0.1;0;0;0.1;0
Madrid. El Goloso;28029-28036-28046;2017;2;1;Madrid;9.0 (17:20);2.2 (05:10);5.6;23 (23:00);9 (23:00);0.4;0;0;0.4;0
Madrid Aeropuerto;28055-28050-28033;2017;2;1;Madrid;10.7 (16:00);2.2 (05:00);6.4;39 (23:00);27 (23:30);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;2;1;Madrid;0;0;0;0;0;0;0;0;0;
Arganda del Rey;28051-28031-28052;2017;2;1;Madrid;12.2 (15:00);2.1 (07:30);7.1;19 (22:10);13 (22:20);2;0;0.2;0.6;1.2
Colmenar Viejo;28039-28038-28032;2017;2;1;Madrid;7.6 (00:20);4.5 (06:40);6;31 (23:59);21 (23:50);0.7;0;0.4;0.1;0.2
Madrid. Ciudad Universitaria;28011-28013-28005;2017;2;1;Madrid;10.8 (15:40);3.0 (07:10);6.9;0;0;0.4;0;0.3;0.1;0
Pozuelo de Alarcón;28030-28028-28026;2017;2;1;Madrid;10.8 (17:20);1.6 (05:50);6.2;0;0;0;0;0;0;0
Madrid. Retiro;28001-28004-28009;2017;2;1;Madrid;11.1 (16:00);6.0 (08:10);8.6;33 (23:10);12 (23:10);0.2;0;0.2;0;0
Tielmes;28002-28003-28043;2017;2;1;Madrid;11.9 (15:30);1.1 (05:40);6.5;0;0;0.2;0;0;0;0.2
Puerto Alto del León;28049-28054-28053;2017;2;1;Madrid;3.7 (08:50);1.8 (06:10);2.8;39 (10:20);17 (10:20);0;0;0;0;
Alpedrete;28019-28014-28012;2017;2;1;Madrid;0;0;0;0;0;0;0;0;0.8;0
Torrelodones;28018-28010-28008;2017;2;1;Madrid;8.5 (16:50);4.6 (03:50);6.5;32 (23:00);15 (23:00);1.4;0;1;0.2;0.2
Rozas de Puerto Real;28017-28007;2017;2;1;Madrid;7.7 (15:30);5.5 (07:00);6.6;0;0;2;0;1.2;0.8;0
Robledo de Chavela;28016-28006;2017;2;1;Madrid;0;0;0;41 (23:40);20 (21:20);0;0;0;0;
Valdemorillo;28015;2017;2;1;Madrid;8.5 (16:30);4.8 (06:00);6.7;26 (22:20);14 (22:20);1;0;0.6;0.4;0
Puerto de Navacerrada;28048-28047-28023;2017;2;2;Madrid;1.1 (14:30);-2.4 (22:10);-0.7;89 (13:30);58 (08:50);18.8;11.4;2.6;4.8;0
Aranjuez;28025-28041-28054;2017;2;2;Madrid;14.5 (14:40);5.5 (01:40);10;60 (15:20);27 (15:30);2.4;1.6;0.2;0.6;0
Rascafría;28034-28035-28040;2017;2;2;Madrid;11.7 (14:10);2.8 (07:30);7.2;69 (15:20);24 (15:20);3.4;1.2;0.2;1.6;0.4
Buitrago del Lozoya;28003-28045-28044;2017;2;2;Madrid;8.1 (13:00);0.6 (23:30);4.4;51 (17:30);27 (17:30);7.5;5.7;0.4;1.4;0
Somosierra;28020-28021-28024;2017;2;2;Madrid;3.7 (00:10);0.3 (23:59);2;69 (15:20);26 (09:30);19.6;7.9;1.4;9.8;0.5
San Sebastián de Los Reyes;28029-28036-28046;2017;2;2;Madrid;10.5 (15:50);5.4 (23:30);8;34 (15:50);17 (16:00);11.2;5.8;2.4;2.8;0.2
Madrid. El Goloso;28055-28050-28033;2017;2;2;Madrid;12.8 (16:40);6.8 (21:50);9.8;65 (15:40);43 (15:50);6.7;4.4;0.6;1.7;0
Madrid Aeropuerto;28022-28027-28037;2017;2;2;Madrid;0;0;0;0;0;0;0;0;0;
Alcala de Henares;28051-28031-28052;2017;2;2;Madrid;12.7 (16:10);6.7 (03:20);9.7;58 (16:10);36 (16:10);8.8;3.2;0.8;4.8;0
Arganda del Rey;28039-28038-28032;2017;2;2;Madrid;7.9 (16:50);2.9 (23:59);5.4;51 (15:50);26 (07:00);16.1;7;3.4;5.7;0
Colmenar Viejo;28011-28013-28005;2017;2;2;Madrid;12.1 (16:40);5.9 (21:00);9;0;0;7.6;4.8;0.9;1.9;0
Madrid. Ciudad Universitaria;28030-28028-28026;2017;2;2;Madrid;12.0 (16:30);5.2 (22:00);8.6;0;0;10.6;5.4;1.4;3.6;0.2
Pozuelo de Alarcón;28001-28004-28009;2017;2;2;Madrid;12.1 (17:10);7.4 (23:59);9.8;53 (15:30);25 (15:50);6.4;3.4;0.6;2.4;0
Madrid. Retiro;28002-28003-28043;2017;2;2;Madrid;12.1 (15:20);6.2 (03:30);9.2;0;0;0.6;0.6;0;0;0
Tielmes;28049-28054-28053;2017;2;2;Madrid;3.4 (14:20);-0.9 (23:20);1.3;72 (15:10);45 (18:30);0;0;0;0;
Puerto Alto del León;28019-28014-28012;2017;2;2;Madrid;10.5 (16:20);4.0 (23:59);7.3;44 (18:30);22 (15:40);11.4;4.6;2.2;4.6;0
Alpedrete;28018-28010-28008;2017;2;2;Madrid;11.0 (16:50);4.2 (23:59);7.6;45 (15:20);24 (15:20);9.5;5;2.3;2.2;0
Rozas de Puerto Real;28017-28007;2017;2;2;Madrid;8.3 (16:00);4.1 (07:00);6.2;0;0;7.2;1.6;5.4;0.2;0
Robledo de Chavela;28016-28006;2017;2;2;Madrid;0;0;0;51 (15:00);28 (14:40);0;0;0;0;
Valdemorillo;28015;2017;2;2;Madrid;10.6 (16:40);4.7 (23:50);7.7;49 (15:00);29 (15:10);10.8;5.2;2.8;2.8;0
Puerto de Navacerrada;28048-28047-28023;2017;2;3;Madrid;2.0 (21:10);-2.1 (02:00);0;93 (12:20);54 (05:40);5.8;0;1.8;3.6;0.4
Aranjuez;28025-28041-28054;2017;2;3;Madrid;14.3 (16:10);5.6 (01:00);10;44 (20:40);17 (13:20);0.2;0.1;0.1;0;0
Rascafría;28034-28035-28040;2017;2;3;Madrid;9.3 (14:00);-1.1 (02:10);4.1;80 (09:40);20 (09:40);1.4;0.2;0.6;0.4;0.2
Buitrago del Lozoya;28003-28045-28044;2017;2;3;Madrid;11.7 (13:00);1.1 (00:30);6.4;56 (10:10);24 (11:40);1;0;0;1;0
Somosierra;28020-28021-28024;2017;2;3;Madrid;5.7 (14:10);-0.5 (02:00);2.6;57 (10:40);28 (09:50);4.8;0.3;1.4;2.9;0.2
