Estación;cp;Año;Mes;Dia;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm);Precipitación 18-24h (mm)
San Sebastián de Los Reyes;28029-28036-28046;2017;2;3;Madrid;10.6 (14:50);5.3 (02:30);8;54 (23:59);24 (23:30);0.4;0;0;0;0.4
Madrid. El Goloso;28055-28050-28033;2017;2;3;Madrid;12.9 (13:50);6.6 (01:50);9.7;67 (12:30);43 (14:00);0.2;0;0;0;0.2
Madrid Aeropuerto;28022-28027-28037;2017;2;3;Madrid;0;0;0;0;0;0;0;0;0;
Alcala de Henares;28051-28031-28052;2017;2;3;Madrid;13.0 (17:10);6.7 (03:00);9.8;51 (11:20);35 (12:00);0;0;0;0;0
Arganda del Rey;28039-28038-28032;2017;2;3;Madrid;8.9 (13:30);2.6 (00:20);5.7;55 (23:10);33 (06:50);2.1;0;0.4;1.2;0.5
Colmenar Viejo;28011-28013-28005;2017;2;3;Madrid;11.5 (13:40);6.3 (02:00);8.9;0;0;0.5;0.2;0;0.1;0.2
Madrid. Ciudad Universitaria;28030-28028-28026;2017;2;3;Madrid;0;0;0;0;0;0;0.2;0;0;0.2
Pozuelo de Alarcón;28001-28004-28009;2017;2;3;Madrid;12.4 (17:10);6.8 (04:20);9.6;94 (12:50);24 (21:30);0.2;0;0.1;0;0.1
Madrid. Retiro;28002-28003-28043;2017;2;3;Madrid;12.3 (17:20);6.1 (01:40);9.2;0;0;0;0;0;0;0
Tielmes;28049-28054-28053;2017;2;3;Madrid;6.3 (14:40);-1.3 (01:30);2.5;66 (13:10);28 (13:30);0;0;0;0;
Puerto Alto del León;28019-28014-28012;2017;2;3;Madrid;12.0 (13:10);2.6 (01:50);7.3;30 (07:00);12 (13:10);1.8;0;0.4;1.2;0.2
Alpedrete;28018-28010-28008;2017;2;3;Madrid;10.4 (13:00);4.0 (01:50);7.2;53 (20:20);28 (08:10);1.5;0.1;0.1;0.3;1
Rozas de Puerto Real;28017-28007;2017;2;3;Madrid;8.1 (23:20);4.3 (01:00);6.2;0;0;7.8;0.4;1.8;3.6;2
Robledo de Chavela;28016-28006;2017;2;3;Madrid;0;0;0;66 (22:00);34 (23:20);0;0;0;0;
Valdemorillo;28015;2017;2;3;Madrid;9.8 (12:50);4.6 (00:10);7.2;62 (06:40);35 (06:40);1.2;0;0.2;0;1
Puerto de Navacerrada;28048-28047-28023;2017;2;4;Madrid;3.6 (13:20);1.5 (22:00);2.5;99 (02:50);51 (02:50);3.2;0.4;1.2;0;1.6
Aranjuez;28025-28041-28054;2017;2;4;Madrid;16.6 (15:50);10.7 (22:30);13.7;45 (00:50);21 (22:30);3.2;0;0;0;3.2
Rascafría;28034-28035-28040;2017;2;4;Madrid;13.6 (14:30);8.0 (06:50);10.8;66 (02:50);23 (03:40);5;0.4;3.4;0.2;1
Buitrago del Lozoya;28003-28045-28044;2017;2;4;Madrid;11.3 (13:50);5.8 (23:40);8.6;55 (02:30);25 (02:00);4.2;1.5;1.5;0.8;0.4
Somosierra;28020-28021-28024;2017;2;4;Madrid;7.3 (13:00);4.4 (00:00);5.9;68 (02:40);29 (02:40);22.8;6.3;11.5;1.6;3.4
Madrid. El Goloso;28029-28036-28046;2017;2;4;Madrid;12.9 (13:40);9.3 (04:50);11.1;57 (00:50);27 (00:50);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;2;4;Madrid;14.5 (15:30);9.7 (05:20);12.1;74 (12:40);48 (02:30);0.2;0;0;0;0.2
Alcala de Henares;28022-28027-28037;2017;2;4;Madrid;0;0;0;0;0;0;0;0;0;
Arganda del Rey;28051-28031-28052;2017;2;4;Madrid;14.5 (16:10);9.8 (07:10);12.2;57 (16:20);40 (16:20);1.2;0;0;1;0.2
Colmenar Viejo;28039-28038-28032;2017;2;4;Madrid;10.4 (15:20);6.5 (00:50);8.4;60 (02:20);36 (13:00);2;0.4;0.4;0.5;0.7
Madrid. Ciudad Universitaria;28011-28013-28005;2017;2;4;Madrid;13.6 (15:20);9.1 (04:50);11.4;0;0;0.4;0;0;0;0.4
Pozuelo de Alarcón;28030-28028-28026;2017;2;4;Madrid;13.8 (15:20);9.8 (04:40);11.8;0;0;0.6;0.2;0.2;0;0.2
Madrid. Retiro;28001-28004-28009;2017;2;4;Madrid;14.3 (15:20);9.4 (05:00);11.8;61 (12:40);28 (14:10);0.4;0;0.1;0;0.3
Tielmes;28002-28003-28043;2017;2;4;Madrid;14.5 (16:30);9.4 (08:10);11.9;0;0;0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;2;4;Madrid;8.6 (13:10);3.3 (23:59);6;85 (03:30);35 (03:30);0;0;0;0;
Alpedrete;28019-28014-28012;2017;2;4;Madrid;11.5 (13:40);7.0 (23:59);9.3;33 (12:40);15 (13:30);1;0.4;0.2;0.2;0.2
Torrelodones;28018-28010-28008;2017;2;4;Madrid;12.6 (13:10);8.1 (00:00);10.4;64 (02:20);32 (13:20);2.3;0;0.1;0.6;1.6
Rozas de Puerto Real;28017-28007;2017;2;4;Madrid;9.6 (18:40);7.6 (01:00);8.6;0;0;1;0.2;0.4;0.2;0.2
Robledo de Chavela;28016-28006;2017;2;4;Madrid;0;0;0;77 (02:10);40 (23:30);0;0;0;0;
Valdemorillo;28015;2017;2;4;Madrid;12.1 (13:30);8.5 (04:50);10.3;69 (01:20);37 (03:10);1;0;0;0.4;0.6
Puerto de Navacerrada;28048-28047-28023;2017;2;5;Madrid;2.3 (01:10);-5.1 (09:40);-1.4;114 (06:30);52 (01:00);11.8;5;6;0.6;0.2
Aranjuez;28025-28041-28054;2017;2;5;Madrid;11.8 (03:30);3.8 (08:30);7.8;66 (13:20);38 (11:20);3.1;0.6;2.5;0;0
Rascafría;28034-28035-28040;2017;2;5;Madrid;9.9 (01:20);0.0 (07:40);4.9;76 (06:10);30 (06:10);14.8;9.8;0.6;4.2;0.2
Buitrago del Lozoya;28003-28045-28044;2017;2;5;Madrid;6.9 (04:00);0.0 (05:50);3.5;80 (06:00);38 (05:50);3.9;2.6;1.3;0;0
Somosierra;28020-28021-28024;2017;2;5;Madrid;6.3 (01:30);-2.1 (10:20);2.1;98 (04:50);24 (05:20);12.3;10.4;0.6;1.3;0
Madrid. El Goloso;28029-28036-28046;2017;2;5;Madrid;10.4 (00:00);3.3 (08:20);6.8;65 (07:30);28 (10:00);4.8;4;0.8;0;0
Madrid Aeropuerto;28055-28050-28033;2017;2;5;Madrid;11.6 (00:10);4.8 (08:40);8.2;80 (07:10);53 (12:50);3.1;0.2;2.7;0.2;0
Alcala de Henares;28022-28027-28037;2017;2;5;Madrid;0;0;0;0;0;0;0;0;0;
Arganda del Rey;28051-28031-28052;2017;2;5;Madrid;11.7 (03:30);5.0 (08:10);8.3;69 (03:40);45 (03:40);4.4;0.2;4.2;0;0
Colmenar Viejo;28039-28038-28032;2017;2;5;Madrid;7.0 (02:00);0.4 (07:30);3.7;77 (07:20);36 (06:40);2.6;1.8;0.7;0.1;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;2;5;Madrid;10.6 (00:10);3.2 (08:30);6.9;0;0;4.1;0.5;3.6;0;0
Pozuelo de Alarcón;28030-28028-28026;2017;2;5;Madrid;11.1 (00:00);3.9 (07:50);7.5;0;0;5.4;0.2;5.2;0;0
Madrid. Retiro;28001-28004-28009;2017;2;5;Madrid;11.4 (00:10);4.3 (08:30);7.8;62 (03:20);27 (00:20);3;0.3;2.7;0;0
Tielmes;28002-28003-28043;2017;2;5;Madrid;11.1 (03:50);4.9 (08:30);8;0;0;3;0;3;0;0
Puerto Alto del León;28049-28054-28053;2017;2;5;Madrid;5.1 (00:50);-3.3 (10:20);0.9;112 (13:10);62 (06:30);0;0;0;0;
Alpedrete;28019-28014-28012;2017;2;5;Madrid;8.6 (04:50);1.2 (07:20);4.9;81 (07:10);38 (08:30);4.8;1.2;3.4;0.2;0
Torrelodones;28018-28010-28008;2017;2;5;Madrid;9.3 (02:20);1.8 (07:30);5.6;82 (08:40);37 (08:40);3;1.7;1.3;0;0
Rozas de Puerto Real;28017-28007;2017;2;5;Madrid;8.5 (00:30);4.2 (08:10);6.3;0;0;0.4;0.2;0.2;0;0
Robledo de Chavela;28016-28006;2017;2;5;Madrid;0;0;0;87 (07:30);33 (00:10);0;0;0;0;
Valdemorillo;28015;2017;2;5;Madrid;9.3 (01:20);3.2 (07:50);6.3;85 (08:20);48 (08:20);4.8;2.2;2.6;0;0
Puerto de Navacerrada;28048-28047-28023;2017;2;6;Madrid;0.7 (16:10);-4.1 (00:50);-1.7;82 (03:20);36 (06:30);0.2;0;0;0.2;0
Aranjuez;28025-28041-28054;2017;2;6;Madrid;15.7 (17:10);4.0 (01:00);9.8;47 (13:20);21 (15:30);0;0;0;0;0
Rascafría;28034-28035-28040;2017;2;6;Madrid;8.5 (16:20);1.8 (02:40);5.1;64 (08:40);27 (08:00);0.4;0.4;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;2;6;Madrid;9.4 (13:30);2.0 (01:30);5.7;63 (00:30);33 (00:30);0;0;0;0;0
Somosierra;28020-28021-28024;2017;2;6;Madrid;4.1 (17:30);-1.0 (02:20);1.5;45 (09:20);12 (18:00);3.6;0;1;2.6;0
Madrid. El Goloso;28029-28036-28046;2017;2;6;Madrid;13.9 (16:50);4.9 (06:40);9.4;43 (13:40);23 (13:50);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;2;6;Madrid;15.7 (16:40);4.8 (07:50);10.3;74 (12:40);46 (12:30);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;2;6;Madrid;0;0;0;0;0;0;0;0;0;
Arganda del Rey;28051-28031-28052;2017;2;6;Madrid;16.4 (15:30);5.1 (06:00);10.7;60 (12:50);36 (13:00);0;0;0;0;0
Colmenar Viejo;28039-28038-28032;2017;2;6;Madrid;13.9 (16:20);2.9 (00:00);8.4;64 (12:20);30 (11:50);0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;2;6;Madrid;16.0 (16:50);5.7 (03:20);10.8;0;0;0;0;0;0;0
Pozuelo de Alarcón;28030-28028-28026;2017;2;6;Madrid;15.9 (15:10);5.8 (03:20);10.8;0;0;0.2;0.2;0;0;0
Madrid. Retiro;28001-28004-28009;2017;2;6;Madrid;15.8 (15:30);6.6 (00:10);11.2;50 (13:50);22 (06:20);0;0;0;0;0
Tielmes;28002-28003-28043;2017;2;6;Madrid;15.7 (15:40);2.2 (08:40);8.9;0;0;0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;2;6;Madrid;5.1 (16:10);-2.3 (00:10);1.4;89 (03:10);56 (03:20);0;0;0;0;
Alpedrete;28019-28014-28012;2017;2;6;Madrid;11.8 (16:20);4.2 (00:00);8;68 (15:00);34 (14:30);0;0;0;0;0
Torrelodones;28018-28010-28008;2017;2;6;Madrid;12.9 (16:40);4.7 (01:30);8.8;70 (16:30);34 (15:50);0;0;0;0;0
Rozas de Puerto Real;28017-28007;2017;2;6;Madrid;11.9 (16:20);4.3 (00:50);8.1;0;0;0;0;0;0;0
Robledo de Chavela;28016-28006;2017;2;6;Madrid;0;0;0;50 (10:30);25 (16:50);0;0;0;0;
Valdemorillo;28015;2017;2;6;Madrid;14.8 (15:40);5.4 (00:30);10.1;62 (12:40);39 (13:00);0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;2;7;Madrid;2.9 (12:10);-3.8 (23:59);-0.4;79 (23:30);35 (23:59);12.8;2.4;7.6;2.8;0
Aranjuez;28025-28041-28054;2017;2;7;Madrid;13.2 (17:20);4.3 (04:20);8.8;36 (16:30);20 (17:30);0;0;0;0;0
Rascafría;28034-28035-28040;2017;2;7;Madrid;8.7 (13:00);2.2 (23:59);5.4;47 (22:30);20 (17:30);11.4;1;7;3.4;0
Buitrago del Lozoya;28003-28045-28044;2017;2;7;Madrid;9.5 (14:40);1.1 (23:59);5.3;61 (22:40);28 (21:20);1.1;0;0.6;0.5;0
Somosierra;28020-28021-28024;2017;2;7;Madrid;6.2 (13:00);-0.9 (23:59);2.6;52 (22:20);15 (22:20);16.9;1.7;6.6;8.3;0.3
Madrid. El Goloso;28029-28036-28046;2017;2;7;Madrid;11.9 (12:50);5.7 (08:20);8.8;42 (18:00);20 (17:40);1;0;0;1;0
Madrid Aeropuerto;28055-28050-28033;2017;2;7;Madrid;13.3 (16:50);5.5 (06:50);9.4;54 (23:10);41 (23:00);0.1;0;0;0.1;0
Alcala de Henares;28022-28027-28037;2017;2;7;Madrid;0;0;0;0;0;0;0;0;0;
Arganda del Rey;28051-28031-28052;2017;2;7;Madrid;13.1 (17:20);5.0 (07:30);9.1;44 (23:40);23 (19:40);0.4;0;0;0.4;0
Colmenar Viejo;28039-28038-28032;2017;2;7;Madrid;11.4 (16:20);4.4 (23:59);7.9;43 (22:20);19 (16:00);0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;2;7;Madrid;12.6 (13:30);5.6 (08:30);9.1;0;0;1.2;0;0;1.1;0.1
Pozuelo de Alarcón;28030-28028-28026;2017;2;7;Madrid;13.4 (16:50);5.8 (06:00);9.6;0;0;1;0;0.2;0.8;0
Madrid. Retiro;28001-28004-28009;2017;2;7;Madrid;12.9 (17:10);6.4 (08:40);9.6;39 (23:40);16 (23:30);0.8;0;0;0.8;0
Tielmes;28002-28003-28043;2017;2;7;Madrid;11.9 (17:30);3.1 (08:40);7.5;0;0;0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;2;7;Madrid;5.1 (12:20);-2.2 (23:59);1.4;13 (21:20);4 (18:40);0;0;0;0;
Alpedrete;28019-28014-28012;2017;2;7;Madrid;12.0 (12:30);5.0 (23:59);8.5;52 (22:50);27 (22:50);0.8;0;0;0.6;0.2
Torrelodones;28018-28010-28008;2017;2;7;Madrid;11.1 (16:30);4.9 (03:20);8;55 (16:50);24 (17:10);3.3;0;0;3.3;0
Rozas de Puerto Real;28017-28007;2017;2;7;Madrid;8.4 (16:50);5.3 (07:10);6.8;0;0;0.6;0;0;0.6;0
Robledo de Chavela;28016-28006;2017;2;7;Madrid;0;0;0;48 (19:20);25 (19:00);0;0;0;0;
Valdemorillo;28015;2017;2;7;Madrid;12.8 (17:20);5.7 (08:50);9.3;49 (22:30);24 (22:20);0.4;0;0.2;0.2;0
Puerto de Navacerrada;28048-28047-28023;2017;2;8;Madrid;-3.8 (00:00);-7.2 (07:00);-5.5;76 (00:40);35 (00:30);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;2;8;Madrid;11.0 (15:20);-0.9 (23:40);5.1;49 (02:30);27 (02:30);0;0;0;0;0
Rascafría;28034-28035-28040;2017;2;8;Madrid;4.6 (16:40);-2.8 (23:40);0.9;41 (09:00);15 (07:10);0.2;0;0.2;0;0
Buitrago del Lozoya;28003-28045-28044;2017;2;8;Madrid;3.7 (15:50);-2.3 (23:59);0.7;58 (10:30);28 (09:30);0;0;0;0;0
Somosierra;28020-28021-28024;2017;2;8;Madrid;0.3 (15:00);-4.4 (09:40);-2.1;54 (13:00);17 (15:00);0;0;0;0;0
Madrid. El Goloso;28029-28036-28046;2017;2;8;Madrid;8.3 (14:00);0.0 (23:59);4.2;40 (15:00);20 (15:00);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;2;8;Madrid;9.5 (14:40);1.5 (23:50);5.5;54 (11:30);42 (16:30);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;2;8;Madrid;0;0;0;0;0;0;0;0;0;
Arganda del Rey;28051-28031-28052;2017;2;8;Madrid;10.1 (14:50);0.6 (23:59);5.4;49 (11:30);32 (12:00);0;0;0;0;0
Colmenar Viejo;28039-28038-28032;2017;2;8;Madrid;5.8 (16:50);-0.2 (08:10);2.8;49 (15:30);24 (04:20);0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;2;8;Madrid;10.5 (14:50);0.6 (23:59);5.6;0;0;0;0;0;0;0
Pozuelo de Alarcón;28030-28028-28026;2017;2;8;Madrid;10.6 (16:30);-1.5 (22:40);4.6;0;0;0.2;0;0;0;0.2
Madrid. Retiro;28001-28004-28009;2017;2;8;Madrid;10.0 (14:10);3.2 (07:30);6.6;38 (02:00);17 (14:50);0;0;0;0;0
Tielmes;28002-28003-28043;2017;2;8;Madrid;10.0 (14:40);0.1 (08:30);5.1;0;0;0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;2;8;Madrid;0.3 (15:50);-5.7 (06:30);-2.7;36 (06:10);4 (00:10);0;0;0;0;
Alpedrete;28019-28014-28012;2017;2;8;Madrid;8.2 (14:40);0.9 (23:20);4.5;54 (05:00);30 (04:30);0;0;0;0;0
Torrelodones;28018-28010-28008;2017;2;8;Madrid;9.5 (16:30);0.0 (22:10);4.8;50 (01:20);25 (07:30);0;0;0;0;0
Rozas de Puerto Real;28017-28007;2017;2;8;Madrid;7.8 (16:30);0.8 (23:59);4.3;0;0;0;0;0;0;0
Robledo de Chavela;28016-28006;2017;2;8;Madrid;0;0;0;58 (00:20);23 (00:50);0;0;0;0;
Valdemorillo;28015;2017;2;8;Madrid;7.9 (16:40);1.7 (08:10);4.8;49 (10:40);29 (08:30);0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;2;9;Madrid;6.4 (15:40);-7.3 (01:10);-0.5;54 (23:59);27 (21:30);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;2;9;Madrid;12.3 (14:50);-2.3 (02:20);5;22 (15:50);14 (22:30);0;0;0;0;0
Rascafría;28034-28035-28040;2017;2;9;Madrid;8.7 (15:30);-6.1 (08:20);1.3;15 (15:20);6 (15:20);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;2;9;Madrid;6.2 (14:50);-6.1 (07:00);0;16 (13:50);9 (13:40);0;0;0;0;0
Somosierra;28020-28021-28024;2017;2;9;Madrid;5.6 (12:20);-4.1 (03:30);0.8;22 (22:10);12 (17:00);0;0;0;0;0
Madrid. El Goloso;28029-28036-28046;2017;2;9;Madrid;8.8 (15:20);-2.0 (08:20);3.4;12 (15:10);5 (15:10);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;2;9;Madrid;10.7 (15:50);-2.0 (06:10);4.3;24 (15:20);13 (23:50);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;2;9;Madrid;0;0;0;0;0;0;0;0;0;
Arganda del Rey;28051-28031-28052;2017;2;9;Madrid;11.8 (15:40);-1.4 (06:10);5.2;14 (14:00);8 (14:40);0;0;0;0;0
Colmenar Viejo;28039-28038-28032;2017;2;9;Madrid;7.2 (15:30);-1.3 (08:20);2.9;21 (16:40);11 (00:50);0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;2;9;Madrid;10.5 (15:40);-1.7 (06:10);4.4;0;0;0;0;0;0;0
Pozuelo de Alarcón;28030-28028-28026;2017;2;9;Madrid;11.1 (15:20);-3.0 (06:20);4.1;0;0;0;0;0;0;0
Madrid. Retiro;28001-28004-28009;2017;2;9;Madrid;9.7 (14:30);1.4 (08:50);5.5;20 (23:59);12 (23:59);0;0;0;0;0
Tielmes;28002-28003-28043;2017;2;9;Madrid;11.7 (15:30);-2.6 (06:40);4.5;0;0;0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;2;9;Madrid;6.8 (12:30);-3.9 (01:00);1.5;5 (22:50);1 (18:10);0;0;0;0;
Alpedrete;28019-28014-28012;2017;2;9;Madrid;11.6 (15:10);-1.9 (07:20);4.9;12 (14:40);5 (14:10);0;0;0;0;0
Torrelodones;28018-28010-28008;2017;2;9;Madrid;11.1 (15:30);-1.7 (05:40);4.7;24 (23:59);9 (00:30);0;0;0;0;0
Rozas de Puerto Real;28017-28007;2017;2;9;Madrid;8.2 (16:00);-0.6 (08:50);3.8;0;0;0;0;0;0;0
Robledo de Chavela;28016-28006;2017;2;9;Madrid;0;0;0;24 (01:00);13 (00:30);0;0;0;0;
Valdemorillo;28015;2017;2;9;Madrid;9.2 (15:10);-1.1 (08:10);4;19 (23:40);10 (21:30);0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;2;10;Madrid;-0.1 (00:40);-4.0 (09:20);-2.1;64 (20:20);38 (20:30);4.4;0;0;0;4.4
Aranjuez;28025-28041-28054;2017;2;10;Madrid;9.3 (15:40);-1.9 (04:10);3.7;32 (20:40);24 (20:40);1.1;0;0;0;1.1
