Estación;cp;Año;Mes;Dia;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm);Precipitación 18-24h (mm)
Puerto de Navacerrada;28048-28047-28023;2017;4;1;Madrid;4.0 (17:30);-2.9 (08:50);0.5;57 (22:40);24 (16:00);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;4;1;Madrid;18.4 (17:50);4.6 (07:00);11.5;46 (10:30);28 (10:50);0;0;0;0;0
Rascafría;28034-28035-28040;2017;4;1;Madrid;0;0;0;0;0;0;0;0;0;
Buitrago del Lozoya;28003-28045-28044;2017;4;1;Madrid;12.1 (17:50);4.0 (08:20);8.1;58 (16:10);27 (15:00);0;0;0;0;0
Somosierra;28020-28021-28024;2017;4;1;Madrid;9.6 (17:40);0.6 (08:10);5.1;38 (19:00);13 (14:40);0.6;0.4;0.1;0.1;0
Madrid. El Goloso;28029-28036-28046;2017;4;1;Madrid;15.6 (18:40);7.3 (08:20);11.5;44 (01:20);24 (01:20);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;4;1;Madrid;17.5 (17:10);8.9 (08:30);13.2;55 (03:00);36 (02:00);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;4;1;Madrid;0;0;0;0;0;0;0;0;0;
Arganda del Rey;28051-28031-28052;2017;4;1;Madrid;19.0 (17:10);6.4 (07:30);12.7;39 (09:40);24 (08:20);0;0;0;0;0
Colmenar Viejo;28039-28038-28032;2017;4;1;Madrid;14.0 (15:30);2.9 (08:10);8.5;45 (00:50);21 (01:10);0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;4;1;Madrid;17.6 (17:30);6.8 (07:30);12.2;0;0;0;0;0;0;0
Pozuelo de Alarcón;28030-28028-28026;2017;4;1;Madrid;17.0 (17:20);6.5 (08:30);11.8;0;0;0;0;0;0;0
Madrid. Retiro;28001-28004-28009;2017;4;1;Madrid;17.4 (15:20);8.3 (07:50);12.8;49 (09:20);21 (09:20);0;0;0;0;0
Tielmes;28002-28003-28043;2017;4;1;Madrid;17.4 (15:40);6.2 (08:40);11.8;0;0;0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;4;1;Madrid;8.1 (18:30);-0.8 (08:10);3.7;71 (01:00);48 (01:20);0;0;0;0;0
Alpedrete;28019-28014-28012;2017;4;1;Madrid;14.3 (17:20);5.5 (08:20);9.9;63 (10:20);30 (10:50);0;0;0;0;0
Torrelodones;28018-28010-28008;2017;4;1;Madrid;15.2 (18:00);5.9 (08:30);10.5;60 (09:00);31 (07:40);0;0;0;0;0
Rozas de Puerto Real;28017-28007;2017;4;1;Madrid;14.3 (17:00);3.3 (08:30);8.8;0;0;0;0;0;0;0
Robledo de Chavela;28016-28006;2017;4;1;Madrid;0;0;0;0;0;0;0;0;0;
Valdemorillo;28015;2017;4;1;Madrid;15.3 (16:50);6.7 (08:10);11;49 (09:30);31 (09:30);0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;4;2;Madrid;7.7 (16:20);-1.9 (04:20);2.9;41 (00:20);17 (10:30);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;4;2;Madrid;19.8 (17:50);0.7 (08:10);10.2;29 (01:40);16 (01:40);0;0;0;0;0
