Estación;cp;Año;Mes;Dia;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm);Precipitación 18-24h (mm)
Puerto de Navacerrada;28048-28047-28023;2017;3;1;Madrid;9.7 (16:00);-1.3 (07:10);4.2;55 (01:30);27 (00:10);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;3;1;Madrid;17.7 (17:00);2.5 (07:10);10.1;23 (15:30);12 (18:10);0;0;0;0;0
Rascafría;28034-28035-28040;2017;3;1;Madrid;14.5 (15:40);-0.6 (08:10);6.9;41 (03:20);15 (03:30);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;3;1;Madrid;13.6 (14:10);1.9 (07:00);7.8;39 (00:20);18 (00:10);0;0;0;0;0
Somosierra;28020-28021-28024;2017;3;1;Madrid;12.4 (16:10);1.3 (08:50);6.8;41 (00:30);12 (13:40);0;0;0;0;0
Madrid. El Goloso;28029-28036-28046;2017;3;1;Madrid;15.0 (16:40);3.1 (08:00);9;28 (00:50);10 (02:20);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;3;1;Madrid;16.4 (16:30);3.9 (08:00);10.1;39 (14:00);19 (01:20);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;3;1;Madrid;17.0 (16:50);1.2 (08:00);9.1;29 (17:10);17 (17:00);0;0;0;0;0
Arganda del Rey;28051-28031-28052;2017;3;1;Madrid;16.9 (16:40);2.5 (07:10);9.7;24 (01:10);17 (17:40);0;0;0;0;0
Colmenar Viejo;28039-28038-28032;2017;3;1;Madrid;13.5 (16:00);3.4 (06:30);8.5;33 (00:10);17 (00:10);0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;3;1;Madrid;16.4 (16:20);3.7 (08:10);10;0;0;0;0;0;0;0
Pozuelo de Alarcón;28030-28028-28026;2017;3;1;Madrid;16.9 (16:00);4.1 (08:10);10.5;0;0;0;0;0;0;0
Madrid. Retiro;28001-28004-28009;2017;3;1;Madrid;16.3 (17:10);5.6 (07:50);10.9;30 (00:50);13 (00:50);0;0;0;0;0
Tielmes;28002-28003-28043;2017;3;1;Madrid;16.2 (14:40);4.1 (05:00);10.2;0;0;0;0;0;0;0
