Estación;cp;Año;Mes;Dia;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm);Precipitación 18-24h (mm)
Puerto de Navacerrada;28048-28047-28023;2017;6;1;Madrid;19.8 (14:30);9.5 (04:40);14.6;35 (16:50);22 (06:40);0.4;0;0;0.4;0
Aranjuez;28025-28041-28054;2017;6;1;Madrid;33.0 (16:50);15.6 (07:30);24.3;28 (17:40);17 (00:40);0;0;0;0;0
Rascafría;28034-28035-28040;2017;6;1;Madrid;24.7 (13:40);7.5 (07:00);16.1;24 (15:10);8 (13:30);9.8;0;0;9.8;0
Buitrago del Lozoya;28003-28045-28044;2017;6;1;Madrid;26.0 (14:20);8.4 (06:50);17.2;36 (14:40);13 (14:50);2.3;0;0;2.3;0
Somosierra;28020-28021-28024;2017;6;1;Madrid;22.5 (14:30);11.6 (05:00);17.1;29 (18:20);13 (18:20);0;0;0;0;0
Madrid. El Goloso;28029-28036-28046;2017;6;1;Madrid;29.4 (15:20);13.8 (06:10);21.6;30 (18:00);15 (18:30);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;6;1;Madrid;32.6 (18:30);14.3 (07:10);23.4;39 (18:20);23 (19:00);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;6;1;Madrid;0;0;0;0;0;0;0;0;0;
Arganda del Rey;28051-28031-28052;2017;6;1;Madrid;33.0 (17:00);16.4 (07:30);24.7;28 (00:20);18 (20:20);0;0;0;0;0
Colmenar Viejo;28039-28038-28032;2017;6;1;Madrid;25.7 (14:10);14.5 (06:10);20.1;32 (00:50);17 (01:00);0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;6;1;Madrid;31.9 (17:00);14.5 (07:00);23.2;0;0;0;0;0;0;0
Pozuelo de Alarcón;28030-28028-28026;2017;6;1;Madrid;31.8 (17:40);13.5 (07:10);22.6;0;0;0;0;0;0;0
Madrid. Retiro;28001-28004-28009;2017;6;1;Madrid;32.3 (16:40);18.4 (07:20);25.3;34 (00:30);16 (00:10);0;0;0;0;0
Tielmes;28002-28003-28043;2017;6;1;Madrid;31.4 (16:00);15.5 (07:00);23.4;0;0;0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;6;1;Madrid;23.4 (15:20);11.4 (05:20);17.4;33 (01:40);20 (01:40);0;0;0;0;0
Alpedrete;28019-28014-28012;2017;6;1;Madrid;30.4 (16:10);13.4 (07:00);21.9;30 (17:00);18 (17:00);0;0;0;0;0
Torrelodones;28018-28010-28008;2017;6;1;Madrid;31.5 (17:10);13.6 (06:40);22.6;38 (17:30);16 (17:40);0;0;0;0;0
Rozas de Puerto Real;28017-28007;2017;6;1;Madrid;28.0 (18:50);13.4 (06:00);20.7;0;0;0;0;0;0;0
Robledo de Chavela;28016-28006;2017;6;1;Madrid;29.6 (15:50);14.2 (06:30);21.9;34 (16:40);12 (15:30);0;0;0;0;0
Valdemorillo;28015;2017;6;1;Madrid;30.4 (16:50);15.3 (06:40);22.8;32 (17:00);15 (14:10);0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;6;2;Madrid;20.7 (13:20);10.5 (04:50);15.6;42 (15:30);22 (15:10);3.2;2;0;0;1.2
Aranjuez;28025-28041-28054;2017;6;2;Madrid;34.3 (14:30);18.3 (07:20);26.3;46 (20:50);19 (01:10);4.6;0;0;0;4.6
Rascafría;28034-28035-28040;2017;6;2;Madrid;26.4 (14:20);10.4 (07:20);18.4;47 (15:40);14 (15:30);0.6;0;0;0;0.6
