Estación;cp;Año;Mes;Dia;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm);Precipitación 18-24h (mm)
Colmenar Viejo;28039-28038-28032;2017;10;7;Madrid;23.4 (16:50);10.2 (08:40);16.8;19 (13:40);10 (14:00);0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;10;7;Madrid;26.4 (16:40);11.4 (08:30);18.9;32 (00:20);16 (10:50);0;0;0;0;0
Pozuelo de Alarcón;28030-28028-28026;2017;10;7;Madrid;27.8 (18:20);5.5 (08:40);16.6;0;0;0;0;0;0;0
Madrid. Retiro;28001-28004-28009;2017;10;7;Madrid;25.9 (15:20);13.7 (08:10);19.8;29 (10:50);12 (01:20);0;0;0;0;0
Tielmes;28002-28003-28043;2017;10;7;Madrid;25.9 (17:00);10.7 (08:10);18.3;0;0;0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;10;7;Madrid;20.3 (16:00);7.9 (07:20);14.1;33 (00:10);23 (00:10);0;0;0;0;0
Alpedrete;28019-28014-28012;2017;10;7;Madrid;27.1 (18:00);9.1 (08:40);18.1;18 (16:00);7 (15:20);0;0;0;0;0
Torrelodones;28018-28010-28008;2017;10;7;Madrid;0;0;0;0;0;0;0;0;0;
Rozas de Puerto Real;28017-28007;2017;10;7;Madrid;23.9 (17:30);9.6 (08:40);16.8;0;0;0;0;0;0;0
Robledo de Chavela;28016-28006;2017;10;7;Madrid;25.8 (18:20);8.9 (08:20);17.3;0;0;0;0;0;0;0
Valdemorillo;28015;2017;10;7;Madrid;26.4 (17:30);10.6 (08:30);18.5;19 (08:40);12 (08:50);0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;10;8;Madrid;18.9 (15:20);10.6 (07:50);14.8;28 (18:30);16 (21:00);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;10;8;Madrid;29.0 (17:50);11.2 (06:10);20.1;26 (01:00);16 (01:10);0;0;0;0;0
Rascafría;28034-28035-28040;2017;10;8;Madrid;26.8 (14:50);0.5 (08:00);13.6;20 (16:00);9 (15:30);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;10;8;Madrid;26.6 (16:20);1.7 (08:00);14.2;26 (17:50);14 (17:20);0;0;0;0;0
Somosierra;28020-28021-28024;2017;10;8;Madrid;22.8 (17:00);7.5 (06:20);15.1;24 (15:30);8 (15:30);0;0;0;0;0
Madrid. El Goloso;28029-28036-28046;2017;10;8;Madrid;25.0 (18:00);8.2 (06:20);16.6;17 (16:30);9 (16:00);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;10;8;Madrid;28.1 (18:20);8.9 (07:50);18.5;30 (17:50);11 (14:30);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;10;8;Madrid;0;0;0;0;0;0;0;0;0;
Arganda del Rey;28051-28031-28052;2017;10;8;Madrid;28.5 (17:30);9.6 (08:00);19.1;17 (16:30);8 (10:30);0;0;0;0;0
Colmenar Viejo;28039-28038-28032;2017;10;8;Madrid;24.9 (16:50);10.2 (08:30);17.5;23 (17:30);11 (15:50);0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;10;8;Madrid;27.7 (17:10);8.8 (08:40);18.3;16 (16:00);8 (23:50);0;0;0;0;0
Pozuelo de Alarcón;28030-28028-28026;2017;10;8;Madrid;27.9 (17:30);7.0 (08:10);17.4;0;0;0;0;0;0;0
Madrid. Retiro;28001-28004-28009;2017;10;8;Madrid;26.1 (17:30);14.1 (08:20);20.1;15 (15:30);8 (09:40);0;0;0;0;0
Tielmes;28002-28003-28043;2017;10;8;Madrid;26.6 (16:00);9.3 (08:40);18;0;0;0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;10;8;Madrid;21.3 (16:20);10.0 (03:50);15.6;34 (16:10);21 (16:30);0;0;0;0;0
Alpedrete;28019-28014-28012;2017;10;8;Madrid;27.2 (16:50);9.1 (07:50);18.2;19 (16:10);9 (18:10);0;0;0;0;0
Torrelodones;28018-28010-28008;2017;10;8;Madrid;0;0;0;0;0;0;0;0;0;
Rozas de Puerto Real;28017-28007;2017;10;8;Madrid;26.4 (17:30);9.9 (07:40);18.1;0;0;0;0;0;0;0
Robledo de Chavela;28016-28006;2017;10;8;Madrid;26.7 (17:20);10.5 (07:50);18.6;0;0;0;0;0;0;0
Valdemorillo;28015;2017;10;8;Madrid;27.0 (17:10);10.6 (07:30);18.8;23 (01:10);13 (23:50);0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;10;9;Madrid;18.0 (16:00);10.5 (09:00);14.3;26 (16:40);15 (01:00);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;10;9;Madrid;30.2 (18:00);4.6 (08:30);17.4;13 (16:10);7 (23:59);0;0;0;0;0
Rascafría;28034-28035-28040;2017;10;9;Madrid;25.5 (15:10);3.1 (05:00);14.3;26 (14:50);8 (15:30);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;10;9;Madrid;25.4 (15:50);3.4 (05:50);14.4;25 (17:00);14 (16:40);0;0;0;0;0
Somosierra;28020-28021-28024;2017;10;9;Madrid;22.6 (16:00);9.2 (06:30);15.9;22 (16:20);7 (02:40);0;0;0;0;0
Madrid. El Goloso;28029-28036-28046;2017;10;9;Madrid;25.6 (17:00);10.4 (05:30);18;18 (17:30);9 (16:00);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;10;9;Madrid;28.5 (17:20);6.4 (08:40);17.5;30 (14:10);12 (16:10);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;10;9;Madrid;0;0;0;0;0;0;0;0;0;
Arganda del Rey;28051-28031-28052;2017;10;9;Madrid;29.5 (17:40);6.7 (08:20);18.1;17 (18:10);8 (18:00);0;0;0;0;0
Colmenar Viejo;28039-28038-28032;2017;10;9;Madrid;25.1 (17:50);12.6 (08:20);18.9;31 (14:10);13 (00:40);0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;10;9;Madrid;28.3 (17:00);7.4 (06:20);17.8;20 (08:10);9 (07:00);0;0;0;0;0
Pozuelo de Alarcón;28030-28028-28026;2017;10;9;Madrid;28.8 (17:30);6.2 (07:20);17.5;0;0;0;0;0;0;0
Madrid. Retiro;28001-28004-28009;2017;10;9;Madrid;27.4 (15:10);13.8 (07:00);20.6;21 (08:00);10 (09:00);0;0;0;0;0
Tielmes;28002-28003-28043;2017;10;9;Madrid;27.8 (15:20);6.6 (07:50);17.2;0;0;0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;10;9;Madrid;20.7 (16:40);11.9 (00:40);16.3;28 (15:40);15 (14:50);0;0;0;0;0
Alpedrete;28019-28014-28012;2017;10;9;Madrid;27.7 (16:50);9.7 (08:40);18.7;22 (17:40);13 (18:10);0;0;0;0;0
Torrelodones;28018-28010-28008;2017;10;9;Madrid;0;0;0;0;0;0;0;0;0;
Rozas de Puerto Real;28017-28007;2017;10;9;Madrid;26.4 (17:20);10.0 (08:10);18.2;0;0;0;0;0;0;0
Robledo de Chavela;28016-28006;2017;10;9;Madrid;27.3 (16:40);10.8 (07:50);19;0;0;0;0;0;0;0
Valdemorillo;28015;2017;10;9;Madrid;28.0 (17:20);11.3 (08:10);19.7;23 (17:00);11 (00:10);0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;10;10;Madrid;20.0 (14:30);10.4 (06:50);15.2;27 (19:40);18 (20:10);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;10;10;Madrid;30.2 (16:50);5.9 (08:10);18.1;15 (12:00);10 (10:10);0;0;0;0;0
Rascafría;28034-28035-28040;2017;10;10;Madrid;26.6 (15:30);1.5 (08:40);14.1;16 (15:20);7 (17:20);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;10;10;Madrid;25.6 (16:10);2.1 (08:00);13.9;26 (16:30);14 (15:30);0;0;0;0;0
Somosierra;28020-28021-28024;2017;10;10;Madrid;24.4 (16:50);7.8 (07:10);16.1;19 (15:20);8 (17:40);0;0;0;0;0
Madrid. El Goloso;28029-28036-28046;2017;10;10;Madrid;25.6 (17:50);9.1 (07:10);17.4;19 (17:20);8 (17:20);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;10;10;Madrid;0;0;0;0;0;0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;10;10;Madrid;0;0;0;0;0;0;0;0;0;
Arganda del Rey;28051-28031-28052;2017;10;10;Madrid;29.5 (16:30);8.1 (05:10);18.8;18 (16:20);11 (17:10);0;0;0;0;0
Colmenar Viejo;28039-28038-28032;2017;10;10;Madrid;25.0 (17:30);13.6 (07:00);19.3;42 (13:20);11 (17:00);0;0;0;0;0
