Estación;cp;Año;Mes;Dia;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm);Precipitación 18-24h (mm)
Puerto de Navacerrada;28048-28047-28023;2017;10;1;Madrid;16.8 (15:50);9.9 (05:00);13.3;26 (05:40);18 (06:30);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;10;1;Madrid;28.5 (16:00);14.0 (08:00);21.3;28 (16:10);12 (15:30);0;0;0;0;0
Rascafría;28034-28035-28040;2017;10;1;Madrid;23.6 (16:10);10.0 (02:40);16.8;23 (15:50);10 (15:50);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;10;1;Madrid;22.5 (15:50);12.4 (06:40);17.4;33 (16:00);17 (16:30);0;0;0;0;0
Somosierra;28020-28021-28024;2017;10;1;Madrid;19.7 (14:20);10.5 (04:10);15.1;27 (13:20);9 (09:10);0;0;0;0;0
Madrid. El Goloso;28029-28036-28046;2017;10;1;Madrid;25.4 (16:50);14.8 (06:00);20.1;22 (18:20);11 (18:10);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;10;1;Madrid;27.4 (15:40);16.6 (08:00);22;37 (01:20);19 (01:20);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;10;1;Madrid;0;0;0;0;0;0;0;0;0;
Arganda del Rey;28051-28031-28052;2017;10;1;Madrid;28.1 (17:10);15.7 (08:50);21.9;29 (14:30);16 (01:20);0;0;0;0;0
Colmenar Viejo;28039-28038-28032;2017;10;1;Madrid;24.0 (13:50);13.6 (07:50);18.8;30 (16:20);17 (17:40);0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;10;1;Madrid;27.0 (16:50);14.8 (08:30);20.9;37 (01:30);20 (01:30);0;0;0;0;0
Pozuelo de Alarcón;28030-28028-28026;2017;10;1;Madrid;27.5 (17:10);15.6 (01:20);21.6;0;0;0;0;0;0;0
Madrid. Retiro;28001-28004-28009;2017;10;1;Madrid;26.0 (17:40);17.6 (07:00);21.8;32 (01:10);16 (01:10);0;0;0;0;0
Tielmes;28002-28003-28043;2017;10;1;Madrid;26.2 (15:30);15.7 (09:20);21;0;0;0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;10;1;Madrid;19.0 (15:20);9.2 (05:50);14.1;32 (00:50);24 (00:10);0;0;0;0;0
Alpedrete;28019-28014-28012;2017;10;1;Madrid;26.6 (13:40);14.2 (06:50);20.4;27 (17:50);14 (17:50);0;0;0;0;0
Torrelodones;28018-28010-28008;2017;10;1;Madrid;26.8 (15:00);14.9 (08:40);20.8;25 (15:40);11 (15:40);0;0;0;0;0
Rozas de Puerto Real;28017-28007;2017;10;1;Madrid;26.2 (16:00);14.4 (08:20);20.3;0;0;0;0;0;0;0
Robledo de Chavela;28016-28006;2017;10;1;Madrid;26.5 (15:30);14.6 (07:30);20.6;0;0;0;0;0;0;0
Valdemorillo;28015;2017;10;1;Madrid;27.1 (15:40);15.2 (08:40);21.2;32 (00:20);19 (00:20);0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;10;2;Madrid;19.1 (17:50);10.5 (04:20);14.8;29 (08:10);19 (06:00);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;10;2;Madrid;31.5 (16:50);11.4 (08:20);21.4;24 (16:40);11 (18:20);0;0;0;0;0
Rascafría;28034-28035-28040;2017;10;2;Madrid;26.9 (16:40);9.1 (08:40);18;17 (11:50);6 (16:50);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;10;2;Madrid;26.6 (16:10);10.7 (03:50);18.7;33 (09:40);16 (09:30);0;0;0;0;0
Somosierra;28020-28021-28024;2017;10;2;Madrid;23.2 (17:20);10.4 (02:10);16.8;31 (10:40);10 (08:40);0.1;0;0.1;0;0
San Sebastián de Los Reyes;28029-28036-28046;2017;10;2;Madrid;27.2 (15:10);12.7 (06:20);20;18 (13:00);8 (14:00);0;0;0;0;0
Madrid. El Goloso;28055-28050-28033;2017;10;2;Madrid;29.6 (17:10);12.8 (08:00);21.2;26 (13:40);13 (16:30);0;0;0;0;0
Madrid Aeropuerto;28022-28027-28037;2017;10;2;Madrid;0;0;0;0;0;0;0;0;0;
Alcala de Henares;28051-28031-28052;2017;10;2;Madrid;30.5 (17:50);11.9 (06:40);21.2;28 (14:00);14 (15:00);0;0;0;0;0
Arganda del Rey;28039-28038-28032;2017;10;2;Madrid;26.5 (16:10);14.4 (07:30);20.4;31 (13:10);15 (12:00);0;0;0;0;0
Colmenar Viejo;28011-28013-28005;2017;10;2;Madrid;29.3 (16:20);12.4 (08:20);20.8;23 (20:10);11 (00:10);0;0;0;0;0
Madrid. Ciudad Universitaria;28030-28028-28026;2017;10;2;Madrid;30.2 (17:40);11.8 (06:00);21;0;0;0;0;0;0;0
Pozuelo de Alarcón;28001-28004-28009;2017;10;2;Madrid;28.4 (15:10);16.4 (08:50);22.4;18 (14:20);9 (14:20);0;0;0;0;0
Madrid. Retiro;28002-28003-28043;2017;10;2;Madrid;28.7 (18:10);11.3 (08:50);20;0;0;0;0;0;0;0
Tielmes;28049-28054-28053;2017;10;2;Madrid;22.4 (17:10);10.6 (08:40);16.5;30 (09:20);20 (08:20);0;0;0;0;0
Puerto Alto del León;28019-28014-28012;2017;10;2;Madrid;29.0 (18:10);13.7 (08:10);21.3;16 (02:50);8 (02:50);0;0;0;0;0
Alpedrete;28018-28010-28008;2017;10;2;Madrid;29.6 (15:50);13.5 (08:00);21.6;21 (14:50);10 (14:00);0;0;0;0;0
Rozas de Puerto Real;28017-28007;2017;10;2;Madrid;27.3 (17:40);15.9 (07:20);21.6;0;0;0;0;0;0;0
Robledo de Chavela;28016-28006;2017;10;2;Madrid;28.6 (16:40);14.1 (08:40);21.4;0;0;0;0;0;0;0
Valdemorillo;28015;2017;10;2;Madrid;29.1 (16:10);14.9 (06:00);22;20 (16:20);11 (16:40);0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;10;3;Madrid;21.2 (15:40);12.5 (04:40);16.9;30 (18:10);16 (07:10);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;10;3;Madrid;32.2 (17:50);14.5 (07:10);23.4;19 (10:20);13 (10:10);0;0;0;0;0
Rascafría;28034-28035-28040;2017;10;3;Madrid;27.7 (16:30);8.0 (08:10);17.9;26 (16:10);12 (16:10);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;10;3;Madrid;28.2 (15:50);9.2 (06:40);18.7;35 (14:30);15 (16:10);0;0;0;0;0
Somosierra;28020-28021-28024;2017;10;3;Madrid;24.4 (15:40);12.0 (05:40);18.2;23 (15:50);8 (16:00);0;0;0;0;0
San Sebastián de Los Reyes;28029-28036-28046;2017;10;3;Madrid;27.9 (17:20);14.2 (08:10);21;23 (17:00);11 (23:40);0;0;0;0;0
Madrid. El Goloso;28055-28050-28033;2017;10;3;Madrid;30.7 (16:50);13.1 (08:30);21.9;33 (14:50);14 (23:20);0;0;0;0;0
Madrid Aeropuerto;28022-28027-28037;2017;10;3;Madrid;0;0;0;0;0;0;0;0;0;
Alcala de Henares;28051-28031-28052;2017;10;3;Madrid;31.6 (17:30);13.7 (08:20);22.7;24 (13:40);9 (14:50);0;0;0;0;0
Arganda del Rey;28039-28038-28032;2017;10;3;Madrid;27.0 (16:30);15.8 (07:50);21.4;34 (13:20);23 (23:50);0;0;0;0;0
Colmenar Viejo;28011-28013-28005;2017;10;3;Madrid;30.6 (16:50);14.0 (08:40);22.3;28 (23:59);13 (23:50);0;0;0;0;0
Madrid. Ciudad Universitaria;28030-28028-28026;2017;10;3;Madrid;30.9 (16:50);12.6 (07:20);21.8;0;0;0;0;0;0;0
Pozuelo de Alarcón;28001-28004-28009;2017;10;3;Madrid;29.5 (15:20);17.9 (08:20);23.7;22 (23:50);10 (05:00);0;0;0;0;0
Madrid. Retiro;28002-28003-28043;2017;10;3;Madrid;29.5 (17:10);13.1 (08:40);21.3;0;0;0;0;0;0;0
Tielmes;28049-28054-28053;2017;10;3;Madrid;24.0 (15:30);12.9 (04:50);18.4;30 (16:30);17 (18:00);0;0;0;0;0
Puerto Alto del León;28019-28014-28012;2017;10;3;Madrid;29.9 (18:00);13.6 (08:40);21.8;21 (13:50);12 (18:10);0;0;0;0;0
Alpedrete;28018-28010-28008;2017;10;3;Madrid;30.6 (16:40);15.0 (06:40);22.8;26 (23:59);12 (17:20);0;0;0;0;0
Rozas de Puerto Real;28017-28007;2017;10;3;Madrid;29.4 (17:40);14.8 (08:50);22.1;0;0;0;0;0;0;0
Robledo de Chavela;28016-28006;2017;10;3;Madrid;29.7 (16:30);14.5 (08:40);22.1;0;0;0;0;0;0;0
Valdemorillo;28015;2017;10;3;Madrid;30.1 (17:30);15.1 (08:50);22.6;24 (14:40);11 (15:00);0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;10;4;Madrid;21.7 (14:40);12.4 (09:00);17.1;32 (15:40);18 (18:00);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;10;4;Madrid;31.7 (17:50);16.9 (08:20);24.3;26 (10:40);17 (10:40);0;0;0;0;0
Rascafría;28034-28035-28040;2017;10;4;Madrid;28.0 (17:00);6.1 (08:20);17;17 (17:40);7 (17:50);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;10;4;Madrid;26.1 (16:20);7.5 (08:10);16.8;21 (15:40);10 (16:40);0;0;0;0;0
Somosierra;28020-28021-28024;2017;10;4;Madrid;23.8 (16:00);10.9 (07:40);17.3;22 (13:40);10 (12:10);0;0;0;0;0
Madrid. El Goloso;28029-28036-28046;2017;10;4;Madrid;27.0 (18:20);15.4 (08:30);21.2;20 (00:50);10 (00:10);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;10;4;Madrid;30.3 (19:00);14.3 (08:00);22.3;28 (00:50);16 (00:40);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;10;4;Madrid;0;0;0;0;0;0;0;0;0;
Arganda del Rey;28051-28031-28052;2017;10;4;Madrid;31.7 (17:40);14.6 (06:20);23.2;24 (15:50);12 (16:30);0;0;0;0;0
Colmenar Viejo;28039-28038-28032;2017;10;4;Madrid;25.9 (17:30);15.3 (08:00);20.6;40 (12:50);24 (01:00);0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;10;4;Madrid;30.1 (17:50);15.6 (08:10);22.9;29 (00:10);17 (01:00);0;0;0;0;0
Pozuelo de Alarcón;28030-28028-28026;2017;10;4;Madrid;30.4 (18:00);14.6 (07:50);22.5;0;0;0;0;0;0;0
Madrid. Retiro;28001-28004-28009;2017;10;4;Madrid;28.8 (17:30);18.0 (08:40);23.4;30 (01:20);15 (01:20);0;0;0;0;0
Tielmes;28002-28003-28043;2017;10;4;Madrid;29.1 (16:20);14.9 (08:50);22;0;0;0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;10;4;Madrid;21.9 (16:20);12.1 (08:10);17;42 (09:30);17 (11:00);0;0;0;0;0
Alpedrete;28019-28014-28012;2017;10;4;Madrid;28.5 (17:20);14.6 (07:00);21.6;32 (01:00);18 (00:40);0;0;0;0;0
Torrelodones;28018-28010-28008;2017;10;4;Madrid;29.4 (18:00);16.7 (06:40);23.1;34 (01:30);18 (02:20);0;0;0;0;0
Rozas de Puerto Real;28017-28007;2017;10;4;Madrid;26.8 (17:30);14.2 (08:20);20.5;0;0;0;0;0;0;0
Robledo de Chavela;28016-28006;2017;10;4;Madrid;28.4 (18:20);16.6 (08:20);22.5;0;0;0;0;0;0;0
Valdemorillo;28015;2017;10;4;Madrid;28.3 (17:10);14.8 (08:10);21.5;29 (00:10);15 (01:00);0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;10;5;Madrid;20.9 (14:20);11.9 (01:50);16.4;36 (15:30);22 (01:30);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;10;5;Madrid;32.1 (17:30);14.7 (07:50);23.4;27 (01:10);13 (10:50);0;0;0;0;0
Rascafría;28034-28035-28040;2017;10;5;Madrid;28.2 (16:40);6.7 (08:20);17.5;22 (15:40);9 (15:40);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;10;5;Madrid;28.3 (15:50);7.4 (08:10);17.8;31 (15:00);15 (14:30);0;0;0;0;0
Somosierra;28020-28021-28024;2017;10;5;Madrid;24.7 (15:50);11.3 (08:30);18;28 (14:00);9 (01:00);0;0;0;0;0
Madrid. El Goloso;28029-28036-28046;2017;10;5;Madrid;28.3 (17:40);13.4 (08:30);20.8;18 (15:10);8 (15:20);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;10;5;Madrid;31.1 (17:30);12.8 (08:30);22;30 (14:30);11 (09:30);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;10;5;Madrid;0;0;0;0;0;0;0;0;0;
Arganda del Rey;28051-28031-28052;2017;10;5;Madrid;32.1 (17:10);14.2 (08:30);23.1;16 (15:50);10 (03:00);0;0;0;0;0
Colmenar Viejo;28039-28038-28032;2017;10;5;Madrid;28.1 (18:20);15.2 (07:00);21.7;27 (11:20);13 (21:20);0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;10;5;Madrid;31.0 (16:20);13.1 (08:10);22.1;17 (14:20);10 (04:40);0;0;0;0;0
Pozuelo de Alarcón;28030-28028-28026;2017;10;5;Madrid;31.7 (17:40);11.7 (06:30);21.7;0;0;0;0;0;0;0
Madrid. Retiro;28001-28004-28009;2017;10;5;Madrid;29.4 (15:20);17.7 (08:30);23.6;18 (23:59);8 (23:50);0;0;0;0;0
Tielmes;28002-28003-28043;2017;10;5;Madrid;30.2 (16:40);13.1 (08:20);21.7;0;0;0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;10;5;Madrid;23.8 (17:00);13.6 (05:30);18.7;31 (14:20);17 (12:30);0;0;0;0;0
Alpedrete;28019-28014-28012;2017;10;5;Madrid;31.0 (16:10);13.2 (08:10);22.1;27 (17:00);13 (17:00);0;0;0;0;0
Torrelodones;28018-28010-28008;2017;10;5;Madrid;30.8 (16:40);15.9 (04:40);23.3;24 (16:40);10 (17:40);0;0;0;0;0
Rozas de Puerto Real;28017-28007;2017;10;5;Madrid;28.7 (17:10);14.1 (09:20);21.4;0;0;0;0;0;0;0
Robledo de Chavela;28016-28006;2017;10;5;Madrid;29.7 (16:40);14.0 (08:00);21.9;0;0;0;0;0;0;0
Valdemorillo;28015;2017;10;5;Madrid;30.3 (16:50);15.1 (09:00);22.7;22 (16:50);14 (23:20);0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;10;6;Madrid;18.1 (15:50);10.1 (23:59);14.1;32 (17:50);19 (20:30);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;10;6;Madrid;31.9 (17:10);11.2 (08:30);21.5;25 (17:40);12 (21:50);0;0;0;0;0
Rascafría;28034-28035-28040;2017;10;6;Madrid;26.5 (14:50);7.2 (08:30);16.8;21 (13:40);10 (13:40);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;10;6;Madrid;25.4 (13:40);6.7 (08:30);16;38 (14:10);17 (13:20);0;0;0;0;0
Somosierra;28020-28021-28024;2017;10;6;Madrid;21.5 (16:50);7.9 (23:59);14.7;27 (16:30);9 (16:30);0;0;0;0;0
Madrid. El Goloso;28029-28036-28046;2017;10;6;Madrid;28.0 (17:40);12.0 (07:40);20;24 (18:00);13 (18:00);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;10;6;Madrid;30.3 (17:00);13.0 (08:30);21.6;39 (21:30);25 (21:30);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;10;6;Madrid;0;0;0;0;0;0;0;0;0;
Arganda del Rey;28051-28031-28052;2017;10;6;Madrid;31.6 (17:50);11.1 (08:40);21.4;31 (15:00);19 (21:40);0;0;0;0;0
Colmenar Viejo;28039-28038-28032;2017;10;6;Madrid;0;0;0;0;0;0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;10;6;Madrid;31.2 (17:00);11.5 (08:50);21.4;36 (23:20);20 (23:20);0;0;0;0;0
Pozuelo de Alarcón;28030-28028-28026;2017;10;6;Madrid;31.1 (16:50);11.2 (08:30);21.2;0;0;0;0;0;0;0
Madrid. Retiro;28001-28004-28009;2017;10;6;Madrid;29.7 (15:20);17.3 (08:30);23.5;42 (22:10);19 (22:50);0;0;0;0;0
Tielmes;28002-28003-28043;2017;10;6;Madrid;29.4 (15:40);13.2 (06:40);21.3;0;0;0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;10;6;Madrid;20.9 (17:10);9.4 (23:50);15.1;37 (14:30);23 (14:40);0;0;0;0;0
Alpedrete;28019-28014-28012;2017;10;6;Madrid;29.7 (15:30);13.1 (07:50);21.4;36 (18:20);17 (17:30);0;0;0;0;0
Torrelodones;28018-28010-28008;2017;10;6;Madrid;0;0;0;0;0;0;0;0;0;
Rozas de Puerto Real;28017-28007;2017;10;6;Madrid;28.1 (16:00);15.6 (07:50);21.9;0;0;0;0;0;0;0
Robledo de Chavela;28016-28006;2017;10;6;Madrid;29.5 (16:10);13.9 (08:40);21.7;0;0;0;0;0;0;0
Valdemorillo;28015;2017;10;6;Madrid;29.7 (16:20);14.8 (08:40);22.3;41 (16:30);23 (20:30);0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;10;7;Madrid;18.9 (13:10);8.7 (07:30);13.8;26 (08:30);17 (08:30);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;10;7;Madrid;28.3 (18:00);6.7 (08:40);17.5;22 (16:10);13 (23:40);0;0;0;0;0
Rascafría;28034-28035-28040;2017;10;7;Madrid;26.2 (15:30);2.0 (08:40);14.1;13 (16:20);6 (16:20);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;10;7;Madrid;24.7 (16:30);2.8 (08:10);13.8;23 (17:00);13 (17:30);0;0;0;0;0
Somosierra;28020-28021-28024;2017;10;7;Madrid;22.0 (18:10);5.9 (07:10);14;19 (14:30);8 (01:10);0;0;0;0;0
Madrid. El Goloso;28029-28036-28046;2017;10;7;Madrid;24.0 (15:00);7.1 (06:50);15.5;21 (15:40);10 (15:40);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;10;7;Madrid;26.8 (17:40);9.0 (08:40);17.9;28 (01:50);16 (11:00);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;10;7;Madrid;0;0;0;0;0;0;0;0;0;
Arganda del Rey;28051-28031-28052;2017;10;7;Madrid;28.2 (18:00);9.5 (06:20);18.9;26 (07:00);13 (07:00);0;0;0;0;0
